n,best,average
0,82,115
1,93,119
2,91,104
3,78,98
4,83,94
5,84,98
6,76,88
7,76,95
8,74,92
9,72,84
10,73,96
11,63,79
12,69,79
13,69,85
14,66,79
15,66,93
16,67,87
17,65,82
18,69,87
19,69,82
20,61,81
21,69,89
22,68,81
23,64,77
24,68,117
25,66,71
26,71,88
27,65,81
28,63,88
29,67,92
30,68,85
31,66,94
32,62,87
33,67,87
34,63,78
35,66,83
36,66,71
37,66,70
38,66,70
39,66,70
40,66,70
