n,best,average
0,82,115
1,75,100
2,74,85
3,72,93
4,65,83
5,67,86
6,71,88
7,67,92
8,65,82
9,65,85
10,65,82
11,62,73
12,61,80
13,62,73
14,63,74
15,65,91
16,61,74
17,62,76
18,61,76
19,60,72
20,62,87
21,58,67
22,66,75
23,65,76
24,66,78
25,65,79
26,61,73
27,62,85
28,65,111
29,63,85
30,62,78
31,63,84
32,63,85
33,61,83
34,58,71
35,60,73
36,60,70
37,60,70
38,60,69
39,60,68
40,60,68
