n,best,average
0,84,114
1,86,107
2,77,116
3,74,97
4,71,90
5,65,98
6,60,84
7,66,78
8,61,78
9,62,70
10,62,79
11,59,92
12,64,81
13,57,76
14,57,71
15,59,74
16,60,87
17,57,67
18,56,84
19,55,70
20,57,82
21,58,67
22,58,78
23,58,78
24,55,70
25,59,67
26,54,76
27,57,72
28,55,73
29,54,73
30,56,68
31,57,73
32,58,68
33,51,63
34,59,82
35,54,63
36,53,59
37,53,59
38,53,58
39,53,58
40,53,58
