n,best,average
0,84,114
1,78,98
2,70,123
3,61,69
4,63,74
5,64,82
6,63,93
7,60,77
8,58,78
9,55,76
10,53,72
11,66,88
12,58,73
13,62,77
14,70,83
15,63,95
16,60,81
17,70,78
18,59,73
19,63,75
20,71,96
21,62,76
22,67,80
23,65,93
24,68,92
25,61,92
26,62,85
27,57,94
28,62,76
29,65,76
30,64,79
31,63,85
32,66,123
33,63,94
34,63,75
35,60,87
36,60,69
37,59,67
38,59,66
39,59,65
40,59,65
