n,best,average
0,84,114
1,74,98
2,68,89
3,68,82
4,67,78
5,68,88
6,68,90
7,71,88
8,69,90
9,74,86
10,63,82
11,63,82
12,68,84
13,61,81
14,64,81
15,62,76
16,67,77
17,68,94
18,69,84
19,63,79
20,63,85
21,63,81
22,64,100
23,63,76
24,65,81
25,66,79
26,64,75
27,61,76
28,64,78
29,61,81
30,62,86
31,65,77
32,60,77
33,57,76
34,61,81
35,62,82
36,62,69
37,62,67
38,62,66
39,62,65
40,62,65
